elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.001,319,50015,60031,60031,60031,60031,49207
2.002,305,50015,60031,60063,60063,60063,52815
3.002,305,50015,60031,60063,60095,60095,51278
4.003,305,50047,60031,60063,60095,60095,53049
5.003,304,50047,60063,60095,60095,60095,52597
6.004,320,50015,60031,60063,60095,60095,50999
7.004,304,50015,60031,60063,60095,60095,51577
8.004,320,50015,50143,60031,60063,60063,50498
9.005,304,50015,60031,60063,60095,60095,51578
10.005,304,50015,60031,60095,60095,60095,52104
11.006,320,50015,50111,60063,60095,60095,50499
12.006,320,50015,60063,60095,60159,60159,51499
13.007,304,50047,60063,60063,60095,60095,52104
14.007,304,50047,60063,60095,60095,60095,52630
15.008,320,50015,59999,60063,60095,60095,50999
16.008,304,50015,60031,60063,60095,60095,51577
17.008,320,50015,59999,60063,60095,60095,50998
18.009,304,50047,60063,60063,60095,60095,52630
19.009,320,50015,50079,50111,50143,50143,49999
20.010,304,50015,60031,60063,60095,60095,51577
21.010,304,50015,60031,60063,60095,60095,51576
22.011,320,50015,60031,60063,60095,60095,52000
23.011,304,50015,59967,60063,60095,60095,50526
24.012,320,50015,50143,60063,60063,60063,50498
25.012,304,50015,60063,60095,60127,60127,52104
26.012,320,50015,60031,60063,60095,60095,51498
27.013,304,50015,60031,60095,60095,60095,51580
28.013,320,50015,60031,60095,60095,60095,50997
29.014,304,50015,60031,60063,60095,60095,51577
30.014,320,50015,59999,60063,60095,60095,50997
31.015,304,50015,60031,60063,60095,60095,51577
32.015,320,50015,59999,60063,60063,60063,50998
33.016,304,50015,60031,60063,60095,60095,51578
34.016,304,50047,60063,60095,60095,60095,53683
35.016,320,50015,50079,50111,50143,50143,50000
36.017,304,50047,60031,60063,60095,60095,53155
37.017,304,50047,60063,60095,60127,60127,52631
38.018,304,50015,60031,60095,60127,60127,51053
39.018,320,50015,59999,60063,60095,60095,50998
40.019,320,50015,59999,60031,60063,60063,50998
41.019,304,50015,60063,60095,60127,60127,52629
42.020,288,50143,60063,60095,60095,60095,54998
43.020,304,50015,60031,60063,60095,60095,51578
44.021,320,50015,60031,60095,60095,60095,51498
45.021,304,50015,59935,60063,60095,60095,50525
46.022,320,50015,60031,60095,60127,60127,50998
47.022,304,50015,60063,60095,60127,60127,52104
48.022,320,50015,60031,60063,60095,60095,51498
49.023,304,50047,60063,60095,60095,60095,52107
50.023,304,50015,59999,60063,60063,60063,51048
51.024,320,50015,60063,60095,60095,60095,52001
52.024,304,50047,60063,60095,60095,60095,52103
53.025,304,50015,60031,60063,60095,60095,51576
54.025,304,50047,60063,60095,60095,60095,52631
55.026,320,50015,50111,60063,60127,60127,50499
56.026,320,50015,60031,60063,60095,60095,50998
57.026,305,50015,59903,60031,60063,60063,50523
58.027,319,50015,60031,60063,60095,60095,51503
59.027,304,50015,60031,60095,60095,60095,51578
60.028,320,50015,60031,60063,60095,60095,50999
61.028,304,50015,60031,60095,60127,60127,51578
62.028,320,50015,50111,60063,60095,60095,50499
63.029,320,50015,60031,60063,60095,60095,50999
64.029,304,50015,60031,60063,60095,60095,51051
65.030,320,50015,50143,60031,60095,60095,50499
66.030,320,50015,60031,60063,60095,60095,51000
67.031,320,50015,50111,60031,60063,60063,50499
68.031,304,50015,59935,60063,60095,60095,50526
69.031,320,50015,50143,60031,60095,60095,50499
70.032,304,50047,60063,60095,60095,60095,52630
71.032,320,50015,50111,60063,60127,60127,50499
72.033,320,50015,59999,60063,60095,60095,51000
73.033,304,50015,60031,60063,60095,60095,51577
74.033,304,50047,60063,60095,60095,60095,52631
75.034,320,50015,59999,60063,60095,60095,50998
76.034,304,50047,60063,60095,60095,60095,52630
77.035,304,50015,60031,60063,60095,60095,51578
78.035,288,50079,60063,60095,60095,60095,54442
79.036,320,50015,60031,60063,60127,60127,51499
80.036,304,50047,60063,60095,60095,60095,52104
81.037,304,50015,60063,60095,60127,60127,52104
82.037,320,50015,60031,60095,60127,60127,51500
83.038,304,50015,60031,60063,60095,60095,51049
84.038,304,50079,60063,60095,60127,60127,54209
85.038,304,50047,60063,60095,60095,60095,52630
86.039,304,50015,60031,60063,60063,60063,51577
87.039,288,50047,60063,60095,60095,60095,54444
88.040,320,50015,60031,60095,60159,60159,51499
89.040,320,50015,60031,60095,60159,60159,50997
90.041,304,50015,59935,60063,60095,60095,50525
