elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,51,50015,60031,60031,60031,60031,49696
2.007,71,50015,60031,60127,60127,60127,51963
3.010,65,50015,60031,60063,60063,60063,51378
4.013,52,50015,60031,60095,60095,60095,51920
5.015,68,50015,60063,60159,60159,60159,51765
6.018,67,50015,60031,60127,60127,60127,52386
7.021,60,50015,60031,60191,60191,60191,52001
8.024,69,50079,60127,60223,60223,60223,53063
9.027,52,50047,60031,60159,60159,60159,51750
10.030,51,49983,50143,50175,50175,50175,49976
11.033,64,50015,60031,60159,60159,60159,52013
12.036,62,50015,60031,60095,60095,60095,52407
13.039,56,50015,60095,60095,60095,60095,51607
14.042,64,59903,60127,60127,60127,60127,55620
15.045,65,50047,60031,60127,60127,60127,52612
16.048,67,50015,60031,60095,60095,60095,52541
17.051,64,50047,60095,60127,60127,60127,53594
18.054,58,50015,60063,60127,60127,60127,51555
19.057,63,50015,59999,60127,60127,60127,51109
20.060,53,50015,60031,60063,60063,60063,52252
21.063,70,50015,60063,60127,60127,60127,51138
22.066,59,50015,60063,60127,60127,60127,50690
23.069,82,50015,60063,60127,60127,60127,51108
24.072,61,50015,60063,60127,60127,60127,51453
25.075,62,50047,59935,60031,60031,60031,50658
26.078,64,50079,60063,60127,60127,60127,53277
27.081,73,50047,60063,60127,60127,60127,51786
28.084,66,50047,60063,60127,60127,60127,52885
29.086,54,50015,60095,60127,60127,60127,52393
30.089,68,50015,60031,60095,60095,60095,53228
31.092,54,50015,60063,60127,60127,60127,51675
32.095,59,50015,60031,60063,60063,60063,51703
33.098,54,50079,60095,60127,60127,60127,53527
34.101,50,50015,60063,60159,60159,60159,52003
35.104,63,50015,60031,60095,60095,60095,51895
36.107,67,50047,60031,60159,60159,60159,52078
37.110,61,50047,60031,60127,60127,60127,51800
38.113,69,50015,60127,60287,60287,60287,51309
39.116,53,59935,60095,60159,60159,60159,55292
40.119,58,50047,60127,60159,60159,60159,52427
41.121,57,50079,60127,60191,60191,60191,53338
42.124,70,50015,60063,60127,60127,60127,51421
43.127,60,50015,50175,60063,60063,60063,50498
44.130,72,50047,60063,60127,60127,60127,52639
45.133,48,50047,60031,60063,60063,60063,52708
46.136,66,50015,59999,59999,59999,59999,50746
47.139,66,50015,59999,60095,60095,60095,51509
48.141,55,50015,60031,60063,60063,60063,52725
49.144,55,50015,60031,60063,60063,60063,52177
50.147,56,50047,60031,60063,60063,60063,53918
51.150,57,50015,59999,60031,60031,60031,50869
52.153,63,50015,60031,60063,60063,60063,51891
53.156,69,50015,60063,60095,60095,60095,53336
54.158,60,50015,60031,60127,60127,60127,52827
55.161,69,50015,60063,60095,60095,60095,52606
56.164,61,50047,60031,60063,60063,60063,51966
57.167,56,50015,59999,60031,60031,60031,51057
58.170,77,50143,60095,60223,60223,60223,54804
59.173,59,50015,60031,60063,60063,60063,51002
60.176,64,50047,60063,60127,60127,60127,53750
61.179,60,50015,60095,60127,60127,60127,51664
62.182,58,50047,60127,60223,60223,60223,52599
63.185,61,50047,60095,60095,60095,60095,53113
64.187,54,50015,60063,60063,60063,60063,52966
65.190,54,50047,60095,60127,60127,60127,52975
66.193,58,50015,60127,60159,60159,60159,52409
67.196,65,50047,60031,60159,60159,60159,52772
68.199,63,50079,60063,60159,60159,60159,54114
69.202,67,50143,60095,60159,60159,60159,54183
70.205,63,50047,60095,60191,60191,60191,52383
71.208,68,50015,60031,60127,60127,60127,51751
72.210,69,50047,60095,60159,60159,60159,53189
73.213,67,50047,60031,60127,60127,60127,51492
74.216,70,50047,59999,60127,60127,60127,51146
75.219,69,50079,60095,60191,60191,60191,52747
76.222,51,50015,59967,60063,60063,60063,50971
77.225,66,50079,60095,60127,60127,60127,53329
78.228,59,50015,59871,59999,59999,59999,50657
79.231,71,50047,60063,60287,60287,60287,51281
80.234,55,50047,60063,60127,60127,60127,51464
81.237,57,50047,59999,60063,60063,60063,50539
82.240,60,50015,60127,60223,60223,60223,52001
83.243,54,50047,60127,60191,60191,60191,53707
84.245,67,50047,60063,60095,60095,60095,52095
85.248,51,50047,60063,60095,60095,60095,52919
86.251,73,50079,60095,60159,60159,60159,53017
87.254,48,50047,60127,60159,60159,60159,54175
88.256,59,50047,60127,60159,60159,60159,53905
89.259,54,59903,60127,60159,60159,60159,56106
90.262,62,50047,60127,60159,60159,60159,51771
