elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,194,50015,60031,60063,60063,60063,50168
2.007,168,50015,60063,60127,60127,60127,52189
3.010,181,50015,60031,60031,60063,60063,51097
4.013,187,50015,60031,60095,60095,60095,52615
5.015,211,50015,60063,60159,60223,60223,52318
6.018,169,50015,60063,60127,60127,60127,52247
7.021,206,50015,60063,60127,60159,60159,52522
8.024,170,50047,60063,60159,60223,60223,53280
9.027,172,50047,60095,60159,60159,60159,52506
10.030,204,50015,50143,50207,50239,50239,49986
11.033,168,50047,59999,60127,60191,60191,51782
12.036,198,50047,60095,60159,60159,60159,52574
13.039,210,50015,60063,60127,60127,60127,52376
14.042,168,50143,60127,60159,60191,60191,54995
15.045,197,50015,60031,60159,60223,60223,51720
16.048,180,50015,60031,60095,60095,60095,52160
17.051,187,50079,60063,60127,60159,60159,54059
18.054,191,50015,60031,60095,60095,60095,51768
19.057,186,50015,59999,60063,60095,60095,50743
20.060,183,50015,60063,60127,60159,60159,52570
21.063,199,50015,60063,60191,60191,60191,51006
22.066,199,50015,50239,60127,60127,60127,50446
23.069,167,50015,59999,60095,60095,60095,50658
24.072,198,50015,60031,60159,60159,60159,51504
25.075,218,50015,59903,59999,60031,60031,50632
26.078,179,50047,60095,60159,60159,60159,53228
27.081,195,50015,60031,60159,60191,60191,52090
28.084,174,50015,60031,60095,60127,60127,51950
29.086,218,50015,60063,60127,60159,60159,52427
30.089,183,50047,60063,60159,60191,60191,53335
31.092,185,50015,60063,60127,60159,60159,52699
32.095,182,50015,59999,60063,60063,60063,51365
33.098,177,50015,60063,60127,60159,60159,52372
34.101,185,50015,60031,60127,60159,60159,51891
35.104,191,50015,60063,60191,60255,60255,52190
36.107,187,50015,60063,60159,60223,60223,51706
37.110,169,50047,60063,60159,60159,60159,52178
38.113,185,50015,60063,60127,60191,60191,51340
39.116,154,50175,60095,60127,60159,60159,54725
40.119,192,50047,60095,60159,60159,60159,53175
41.121,162,50079,60095,60159,60191,60191,53700
42.124,176,50047,60031,60127,60159,60159,51764
43.127,186,50015,59967,60031,60095,60095,50641
44.130,191,50015,60031,60095,60095,60095,51619
45.133,201,50079,60095,60127,60159,60159,54321
46.136,191,50015,59999,60031,60031,60031,50781
47.139,198,50015,59999,60063,60063,60063,51461
48.141,199,50015,60031,60063,60063,60063,51805
49.144,177,50047,60063,60095,60127,60127,53610
50.147,189,50047,60031,60063,60063,60063,53008
51.150,195,50015,60031,60063,60063,60063,51686
52.153,167,50015,60031,60095,60127,60127,52452
53.156,178,50015,60031,60063,60095,60095,53029
54.158,179,50015,60063,60095,60095,60095,51680
55.161,179,50015,60095,60127,60159,60159,52286
56.164,180,50015,59999,60159,60159,60159,51276
57.167,191,50015,59999,60063,60063,60063,50838
58.170,158,50143,60095,60159,60223,60223,54802
59.173,204,50015,60031,60063,60095,60095,51317
60.176,171,50047,60095,60127,60191,60191,53970
61.179,189,50015,60031,60127,60127,60127,52115
62.182,166,50015,60063,60127,60191,60191,52401
63.185,173,50015,60063,60127,60127,60127,52423
64.187,165,50015,60063,60095,60095,60095,52905
65.190,189,50015,60031,60095,60159,60159,52535
66.193,182,50015,60031,60095,60127,60127,52406
67.196,185,50015,60063,60159,60191,60191,52700
68.199,163,50079,60095,60191,60223,60223,53804
69.202,158,50079,60127,60159,60191,60191,53799
70.205,178,50047,60063,60095,60159,60159,52806
71.208,191,50015,60031,60191,60223,60223,51665
72.210,178,50047,60063,60127,60127,60127,53028
73.213,184,50015,59999,60127,60127,60127,51184
74.216,166,50015,60063,60095,60127,60127,51562
75.219,175,50079,60095,60159,60159,60159,53983
76.222,200,50015,50207,60063,60127,60127,50442
77.225,184,50047,60095,60223,60255,60255,53190
78.228,171,50015,50207,60031,60095,60095,50471
79.231,182,50015,60063,60223,60223,60223,51585
80.234,172,50015,59999,60127,60159,60159,50921
81.237,180,50015,59967,60159,60159,60159,50714
82.240,184,50047,60095,60127,60223,60223,52665
83.243,181,50079,60095,60191,60191,60191,54027
84.245,185,50015,60063,60159,60159,60159,52209
85.248,184,50047,60095,60191,60191,60191,53527
86.251,196,50047,60063,60127,60159,60159,52843
87.254,173,50047,60063,60159,60159,60159,53636
88.256,199,50079,60095,60159,60191,60191,53511
89.259,174,59839,60095,60127,60191,60191,55275
90.262,126,50015,60159,60191,60255,60255,52297
