elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,179,50015,60031,60063,60063,60063,51008
2.007,170,50015,60031,60063,60191,60191,52043
3.010,189,50015,59999,60063,60063,60063,51366
4.013,179,50015,60031,60095,60095,60095,52286
5.015,181,50015,60031,60127,60159,60159,51820
6.018,196,50015,60031,60095,60127,60127,52143
7.021,187,50047,60063,60159,60159,60159,52666
8.024,198,50047,60031,60159,60223,60223,52118
9.027,195,50015,60031,60095,60095,60095,51993
10.030,180,50015,50143,50207,50239,50239,49997
11.033,196,50047,60031,60127,60159,60159,51723
12.036,187,50015,60095,60159,60191,60191,52985
13.039,166,50015,60063,60095,60159,60159,51805
14.042,187,50143,60095,60159,60159,60159,54969
15.045,192,50047,60063,60127,60127,60127,52131
16.048,178,50015,60031,60063,60127,60127,51844
17.051,172,50047,60063,60095,60127,60127,53307
18.054,205,50015,60031,60063,60063,60063,51509
19.057,194,50015,60031,60063,60127,60127,51077
20.060,176,50015,60031,60063,60063,60063,52149
21.063,182,50015,60031,60159,60159,60159,50926
22.066,195,50015,59871,60095,60191,60191,50505
23.069,190,50015,60031,60095,60127,60127,51470
24.072,159,50047,59999,60127,60127,60127,51627
25.075,179,50015,50239,60031,60063,60063,50439
26.078,177,50047,60095,60191,60255,60255,53327
27.081,165,50015,60031,60127,60191,60191,51318
28.084,191,50015,59999,60095,60127,60127,52144
29.086,157,50015,60063,60095,60127,60127,52225
30.089,188,50015,60063,60127,60127,60127,53341
31.092,185,50015,60063,60127,60159,60159,53075
32.095,195,50015,60031,60063,60095,60095,51634
33.098,210,50015,60031,60095,60127,60127,52614
34.101,184,50015,60031,60127,60127,60127,51674
35.104,210,50015,60031,60127,60255,60255,51280
36.107,199,50015,60063,60191,60191,60191,51845
37.110,188,50015,60031,60095,60127,60127,51377
38.113,193,50015,60095,60223,60223,60223,51700
39.116,181,50079,60095,60191,60223,60223,53533
40.119,186,50047,60063,60127,60127,60127,53319
41.121,199,50047,60063,60127,60159,60159,52659
42.124,196,50015,59999,60095,60127,60127,51677
43.127,215,50015,59967,60063,60223,60223,50742
44.130,184,50015,60031,60127,60127,60127,52115
45.133,175,50047,60063,60095,60095,60095,53931
46.136,178,50015,59999,60031,60191,60191,50557
47.139,179,50015,60063,60063,60095,60095,51784
48.141,169,50015,60031,60095,60127,60127,52539
49.144,201,50015,60063,60095,60095,60095,53230
50.147,188,50047,60063,60095,60095,60095,54305
51.150,196,50015,60031,60095,60127,60127,51575
52.153,182,50015,60063,60127,60127,60127,52691
53.156,189,50015,60031,60063,60095,60095,53224
54.158,181,50015,60031,60063,60095,60095,51873
55.161,177,50047,60063,60159,60159,60159,52936
56.164,191,50015,60031,60063,60063,60063,51713
57.167,181,50015,59999,60031,60159,60159,50716
58.170,173,50175,60095,60159,60159,60159,54851
59.173,180,50015,59999,60095,60127,60127,51273
60.176,176,50079,60063,60191,60191,60191,54142
61.179,170,50015,60031,60095,60127,60127,51754
62.182,211,50015,60031,60127,60191,60191,52512
63.185,190,50015,60031,60095,60127,60127,52465
64.187,184,50047,60063,60095,60127,60127,53470
65.190,194,50015,60031,60095,60095,60095,52462
66.193,183,50047,60095,60191,60191,60191,52891
67.196,186,50047,60063,60127,60223,60223,52424
68.199,167,50047,60127,60191,60223,60223,54120
69.202,181,50047,60095,60191,60191,60191,53470
70.205,199,50047,60063,60095,60127,60127,52648
71.208,187,50015,60031,60223,60223,60223,51386
72.210,185,50047,60063,60127,60127,60127,53130
73.213,199,50015,60063,60191,60223,60223,51657
74.216,179,50047,60063,60095,60095,60095,51560
75.219,185,50079,60095,60159,60223,60223,53293
76.222,173,50015,59871,60031,60063,60063,50507
77.225,161,50047,60127,60223,60255,60255,53221
78.228,189,50015,59967,60095,60127,60127,50681
79.231,205,50015,60095,60159,60223,60223,51892
80.234,203,50015,59967,60063,60191,60191,51127
81.237,201,50015,50207,60063,60095,60095,50438
82.240,202,50047,60095,60159,60159,60159,52418
83.243,161,50079,60095,60159,60159,60159,53909
84.245,186,50047,60063,60127,60191,60191,52463
85.248,182,50079,60095,60127,60127,60127,53350
86.251,182,50047,60095,60191,60191,60191,53126
87.254,177,50047,60063,60127,60127,60127,53544
88.256,155,50079,60095,60127,60191,60191,54377
89.259,186,59903,60127,60159,60159,60159,55320
90.262,144,50015,60159,60351,60351,60351,51736
