elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,186,50015,60031,60063,60063,60063,51504
2.007,207,50015,60031,60063,60127,60127,52157
3.010,197,50015,60031,60095,60095,60095,51469
4.013,180,50015,60031,60063,60063,60063,52440
5.015,166,50015,60031,60095,60127,60127,51446
6.018,177,50015,60031,60095,60095,60095,51692
7.021,175,50015,60063,60159,60159,60159,52510
8.024,173,50047,60095,60191,60191,60191,52370
9.027,190,50047,60063,60159,60159,60159,51736
10.030,205,50015,50175,60031,60095,60095,50145
11.033,180,50015,60063,60191,60223,60223,51609
12.036,186,50047,60095,60223,60223,60223,53010
13.039,164,50015,60031,60095,60127,60127,51950
14.042,171,59935,60127,60159,60223,60223,55728
15.045,175,50015,60031,60159,60191,60191,51308
16.048,183,50015,60031,60063,60063,60063,51690
17.051,173,50079,60095,60127,60127,60127,54452
18.054,174,50047,60063,60063,60095,60095,51902
19.057,177,50015,60031,60127,60127,60127,51522
20.060,187,50015,60063,60127,60127,60127,52514
21.063,187,50015,60063,60223,60255,60255,51125
22.066,186,50015,59999,60127,60127,60127,50593
23.069,199,50015,60063,60127,60159,60159,51095
24.072,191,50047,60063,60191,60223,60223,51735
25.075,180,50015,59935,60095,60095,60095,50558
26.078,188,50079,60095,60159,60159,60159,52875
27.081,177,50047,60031,60191,60223,60223,51927
28.084,199,50015,60031,60095,60095,60095,52207
29.086,178,50015,60063,60159,60159,60159,51800
30.089,171,50047,60095,60159,60159,60159,53563
31.092,168,50015,60031,60159,60159,60159,52315
32.095,198,50015,60031,60127,60127,60127,51823
33.098,168,50047,60063,60095,60095,60095,52848
34.101,187,50015,60095,60127,60159,60159,51973
35.104,170,50015,60095,60223,60255,60255,51715
36.107,158,50047,60095,60223,60223,60223,52484
37.110,190,50015,60031,60159,60159,60159,51255
38.113,191,50015,60031,60191,60255,60255,51523
39.116,193,50079,60095,60159,60191,60191,53941
40.119,173,50047,60095,60159,60191,60191,52835
41.121,191,50047,60063,60127,60127,60127,52977
42.124,192,50015,60031,60159,60159,60159,51561
43.127,179,50015,59967,60095,60127,60127,50612
44.130,162,50015,60031,60063,60127,60127,52085
45.133,159,50079,60063,60127,60127,60127,53902
46.136,199,50015,59999,60031,60031,60031,50503
47.139,188,50015,60031,60063,60063,60063,51219
48.141,196,50015,60031,60095,60095,60095,51991
49.144,156,50047,60063,60095,60095,60095,52886
50.147,177,50047,60063,60063,60095,60095,53387
51.150,171,50015,60031,60095,60127,60127,51699
52.153,204,50015,60031,60063,60127,60127,52354
53.156,166,50015,60063,60095,60095,60095,53189
54.158,191,50015,60031,60095,60127,60127,52145
55.161,183,50015,60031,60095,60095,60095,52071
56.164,200,50015,60031,60095,60127,60127,51500
57.167,212,50015,59999,60031,60095,60095,50700
58.170,172,50079,60127,60159,60223,60223,54298
59.173,185,50015,59999,60031,60031,60031,51030
60.176,175,50079,60095,60191,60223,60223,54345
61.179,214,50015,60031,60063,60127,60127,51492
62.182,174,50015,60031,60095,60127,60127,52633
63.185,185,50047,60063,60095,60095,60095,52706
64.187,195,50047,60031,60063,60095,60095,53228
65.190,178,50047,60063,60095,60159,60159,52983
66.193,189,50047,60063,60191,60191,60191,52491
67.196,176,50015,60095,60127,60127,60127,52551
68.199,193,50079,60127,60191,60191,60191,53885
69.202,202,50079,60095,60127,60223,60223,53564
70.205,167,50079,60095,60159,60191,60191,52697
71.208,166,50015,60095,60127,60127,60127,51811
72.210,172,50047,60063,60127,60159,60159,53021
73.213,183,50015,60031,60063,60063,60063,51422
74.216,194,50015,60031,60127,60159,60159,51236
75.219,179,50111,60127,60159,60159,60159,53808
76.222,216,50015,50271,60031,60095,60095,50424
77.225,197,50079,60159,60255,60319,60319,52956
78.228,190,50015,50207,60095,60095,60095,50466
79.231,182,50015,59999,60095,60127,60127,50828
80.234,209,50015,59967,60095,60127,60127,50769
81.237,202,50015,50207,60063,60127,60127,50491
82.240,162,50047,60063,60159,60223,60223,53019
83.243,180,50079,60095,60191,60223,60223,53718
84.245,173,50047,60095,60159,60223,60223,52723
85.248,192,50079,60127,60159,60191,60191,53754
86.251,159,50047,60095,60159,60191,60191,52954
87.254,186,50047,60095,60159,60191,60191,53548
88.256,195,50079,60095,60191,60223,60223,53754
89.259,163,59871,60095,60159,60223,60223,55586
90.262,148,50047,60223,60255,60255,60255,52108
