elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.002,610,610,0,50.015,60.031,60.031,60.063,60.063,50.015,60.031
2.007,616,616,0,50.015,60.031,60.127,60.191,60.191,50.015,60.095
3.010,632,632,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
4.013,598,598,0,50.015,60.031,60.095,60.095,60.095,50.015,60.063
5.015,626,626,0,50.015,60.031,60.127,60.223,60.223,50.015,60.095
6.018,609,609,0,50.015,60.031,60.095,60.127,60.127,50.015,60.095
7.021,628,628,0,50.015,60.063,60.159,60.191,60.191,50.015,60.095
8.024,610,610,0,50.047,60.063,60.191,60.223,60.223,50.015,60.127
9.027,609,609,0,50.047,60.063,60.127,60.159,60.159,50.015,60.127
10.030,640,640,0,50.015,50.175,50.239,60.095,60.095,50.015,60.095
11.033,608,608,0,50.015,60.031,60.127,60.223,60.223,50.015,60.127
12.036,633,633,0,50.015,60.095,60.159,60.223,60.223,50.015,60.127
13.039,596,596,0,50.015,60.063,60.095,60.159,60.159,50.015,60.127
14.042,590,590,0,59.903,60.127,60.159,60.223,60.223,50.015,60.127
15.045,629,629,0,50.015,60.031,60.127,60.223,60.223,50.015,60.127
16.048,608,608,0,50.015,60.031,60.063,60.127,60.127,50.015,60.127
17.051,596,596,0,50.047,60.063,60.127,60.159,60.159,50.015,60.127
18.054,628,628,0,50.015,60.031,60.063,60.127,60.127,50.015,60.127
19.057,620,620,0,50.015,60.031,60.095,60.127,60.127,50.015,60.127
20.060,599,599,0,50.015,60.063,60.127,60.159,60.159,50.015,60.127
21.063,638,638,0,50.015,60.063,60.191,60.255,60.255,50.015,60.127
22.066,639,639,0,50.015,59.871,60.095,60.191,60.191,50.015,60.127
23.069,638,638,0,50.015,60.031,60.095,60.159,60.159,50.015,60.127
24.072,609,609,0,50.047,60.063,60.159,60.223,60.223,50.015,60.127
25.075,639,639,0,50.015,59.903,60.063,60.095,60.095,50.015,60.127
26.078,608,608,0,50.079,60.095,60.159,60.255,60.255,50.015,60.127
27.081,610,610,0,50.015,60.031,60.159,60.223,60.223,50.015,60.127
28.084,630,630,0,50.015,60.031,60.095,60.127,60.127,50.015,60.127
29.086,607,607,0,50.015,60.063,60.127,60.159,60.159,50.015,60.127
30.089,610,610,0,50.047,60.063,60.127,60.191,60.191,50.015,60.127
31.092,592,592,0,50.015,60.063,60.127,60.159,60.159,50.015,60.127
32.095,634,634,0,50.015,60.031,60.063,60.127,60.127,50.015,60.127
33.098,609,609,0,50.015,60.063,60.127,60.159,60.159,50.015,60.127
34.101,606,606,0,50.015,60.063,60.127,60.159,60.159,50.015,60.127
35.104,634,634,0,50.015,60.063,60.159,60.255,60.255,50.015,60.127
36.107,611,611,0,50.015,60.063,60.191,60.223,60.223,50.015,60.127
37.110,608,608,0,50.015,60.031,60.127,60.159,60.159,50.015,60.127
