elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.001,313,50015,60031,60031,60063,60063,49715
2.002,300,50015,60031,60095,60191,60191,52995
3.002,317,50015,60031,60031,60063,60063,50820
4.003,304,50015,60031,60063,60063,60063,52565
5.003,317,50015,59999,60063,60063,60063,50882
6.004,307,50015,60031,60063,60095,60095,51792
7.004,320,50015,50111,60031,60063,60063,50501
8.005,304,50015,60031,60063,60095,60095,51576
9.005,320,50047,60031,60063,60095,60095,51999
10.006,304,50015,59967,60063,60095,60095,50523
11.006,320,50015,60031,60095,60127,60127,51500
12.007,304,50015,60031,60063,60095,60095,51578
13.007,320,50015,50079,50111,50143,50143,49997
14.008,320,50015,50079,50111,50143,50143,49999
15.008,320,50015,60031,60063,60095,60095,51499
16.008,304,50015,59967,60063,60095,60095,50525
17.009,304,50047,60063,60095,60127,60127,53157
18.009,320,50015,60031,60095,60095,60095,50999
19.010,320,50015,50111,60063,60095,60095,50497
20.010,320,50015,50079,50111,50111,50111,49999
21.011,304,50015,59967,60095,60095,60095,50525
22.011,304,50047,60063,60095,60127,60127,53157
23.012,320,50015,60031,60095,60095,60095,51499
24.012,304,50015,60031,60063,60095,60095,51577
25.013,304,50015,60031,60095,60095,60095,51579
26.013,304,50047,60063,60095,60127,60127,52629
27.014,304,50047,60063,60095,60127,60127,53682
28.014,304,50047,60063,60095,60127,60127,52631
29.015,320,50015,60031,60095,60127,60127,50998
30.015,304,50047,60031,60063,60095,60095,52104
31.016,320,50015,50143,60063,60095,60095,50498
32.016,304,50015,60031,60063,60095,60095,51051
33.017,304,50047,60063,60063,60095,60095,53156
34.017,320,50015,60031,60063,60095,60095,50999
35.017,304,50047,60063,60095,60095,60095,52629
36.018,304,50047,60031,60063,60095,60095,52104
37.018,320,50015,50111,60063,60095,60095,50499
38.019,320,50015,50079,50111,50111,50111,49998
39.019,304,50015,60031,60063,60095,60095,51050
40.020,320,50015,50143,60063,60095,60095,50498
41.020,320,50015,50111,60063,60095,60095,50499
42.021,304,50015,60031,60063,60095,60095,51577
43.021,304,50047,60063,60095,60127,60127,52631
44.022,320,50015,50079,50111,50143,50143,49998
45.022,320,50015,60063,60095,60127,60127,52000
46.022,304,50015,60063,60127,60159,60159,52102
47.023,304,50015,60031,60063,60095,60095,51579
48.023,304,50015,60063,60095,60127,60127,52102
49.024,319,50015,60031,60063,60095,60095,52068
50.024,304,50047,60063,60095,60095,60095,52664
51.025,320,50015,50079,50143,60031,60031,50061
52.025,320,50015,50143,60063,60095,60095,50500
53.026,304,50015,59935,60063,60095,60095,50525
54.026,320,50015,59967,60063,60095,60095,50592
55.027,304,50047,60063,60095,60127,60127,52534
56.027,304,50047,60063,60095,60095,60095,52103
57.028,304,50047,60063,60095,60127,60127,53156
58.028,320,50015,60031,60063,60095,60095,51000
59.029,304,50015,59999,60063,60063,60063,51048
60.029,320,50015,60031,60063,60095,60095,50999
61.030,320,50015,60031,60095,60095,60095,50996
62.030,304,50015,60031,60063,60095,60095,51051
63.031,320,50015,60031,60095,60127,60127,51500
64.031,304,50015,59967,60063,60127,60127,50524
65.032,304,50047,60063,60095,60127,60127,52628
66.032,320,50015,60031,60063,60095,60095,51499
67.033,320,50015,50239,60063,60127,60127,50499
68.033,304,50015,60031,60127,60191,60191,51050
69.034,320,50015,60031,60095,60127,60127,50996
70.034,320,50015,50175,60063,60095,60095,50498
71.035,304,50015,60031,60095,60127,60127,52101
72.035,320,50015,50111,60095,60159,60159,50498
73.036,304,50015,59999,60063,60095,60095,51051
74.036,320,50015,60063,60127,60159,60159,51999
75.037,304,50015,60063,60095,60095,60095,52105
76.037,304,50015,60031,60095,60159,60159,51280
77.038,316,50015,60031,60063,60063,60063,51991
78.038,300,50015,60031,60063,60063,60063,52531
79.038,307,50015,60031,60031,60063,60063,52278
80.039,305,50015,60031,60063,60063,60063,52162
81.039,297,50015,60031,60063,60095,60095,53466
82.040,304,50015,60031,60063,60063,60063,52367
83.040,312,50015,60031,60063,60063,60063,52690
84.041,306,50015,60031,60031,60063,60063,51961
85.041,304,50015,60031,60031,60063,60063,52333
86.041,317,50015,60031,60063,60095,60095,50947
87.042,307,50015,60031,60063,60095,60095,51562
88.042,303,50015,60031,60063,60095,60095,52508
89.043,304,50015,60031,60063,60095,60095,52105
90.043,320,50015,50207,60031,60095,60095,50503
