elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.001,313,313,0,50.015,60.031,60.031,60.063,60.063,50.015,60.031
2.002,300,300,0,50.015,60.031,60.095,60.191,60.191,50.015,60.063
3.002,317,317,0,50.015,60.031,60.031,60.063,60.063,50.015,60.063
4.003,304,304,0,50.015,60.031,60.063,60.063,60.063,50.015,60.063
5.003,317,317,0,50.015,59.999,60.063,60.063,60.063,50.015,60.063
6.004,307,307,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
7.004,320,320,0,50.015,50.111,60.031,60.063,60.063,50.015,60.063
8.005,304,304,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
9.005,320,320,0,50.047,60.031,60.063,60.095,60.095,50.015,60.063
10.006,304,304,0,50.015,59.967,60.063,60.095,60.095,50.015,60.063
11.006,320,320,0,50.015,60.031,60.095,60.127,60.127,50.015,60.063
12.007,304,304,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
13.007,320,320,0,50.015,50.079,50.111,50.143,50.143,50.015,60.063
14.008,320,320,0,50.015,50.079,50.111,50.143,50.143,50.015,60.063
15.008,320,320,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
16.008,304,304,0,50.015,59.967,60.063,60.095,60.095,50.015,60.063
17.009,304,304,0,50.047,60.063,60.095,60.127,60.127,50.015,60.063
18.009,320,320,0,50.015,60.031,60.095,60.095,60.095,50.015,60.063
19.010,320,320,0,50.015,50.111,60.063,60.095,60.095,50.015,60.063
20.010,320,320,0,50.015,50.079,50.111,50.111,50.111,50.015,60.063
21.011,304,304,0,50.015,59.967,60.095,60.095,60.095,50.015,60.063
22.011,304,304,0,50.047,60.063,60.095,60.127,60.127,50.015,60.063
23.012,320,320,0,50.015,60.031,60.095,60.095,60.095,50.015,60.063
24.012,304,304,0,50.015,60.031,60.063,60.095,60.095,50.015,60.063
25.013,304,304,0,50.015,60.031,60.095,60.095,60.095,50.015,60.063
26.013,304,304,0,50.047,60.063,60.095,60.127,60.127,50.015,60.063
27.014,304,304,0,50.047,60.063,60.095,60.127,60.127,50.015,60.063
28.014,304,304,0,50.047,60.063,60.095,60.127,60.127,50.015,60.063
