elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,3024,5179,7275,8319,9831,11071,5281
2.003,3024,5235,7291,8375,9559,10815,5296
3.004,3024,5215,7215,8247,9263,11431,5291
4.005,3017,5251,7243,8479,10215,11351,5305
5.006,3007,5263,7375,8495,9855,10751,5324
6.007,2983,5311,7523,8799,10047,11503,5368
7.008,3034,5187,7283,8319,10191,11743,5278
8.009,3038,5191,7435,8887,10247,11415,5267
9.009,3054,5159,7339,8439,9711,10407,5241
10.010,3025,5223,7379,8423,10047,10703,5290
11.011,3020,5239,7435,8599,9799,11647,5306
12.012,2998,5243,7371,8623,10391,11199,5332
13.012,2957,5335,7487,9007,10239,10975,5418
14.013,3006,5243,7411,8391,9959,11271,5323
15.014,3011,5235,7275,8639,10239,10919,5316
16.014,3003,5251,7383,8679,10231,11367,5330
17.015,3013,5239,7363,8767,9831,10895,5315
18.016,3020,5203,7267,8727,9767,11143,5300
19.017,3011,5239,7359,8599,10263,11607,5317
20.018,3003,5259,7243,8663,9887,11663,5329
21.018,2996,5279,7307,8559,10343,11007,5346
22.019,2997,5279,7299,8407,9887,10543,5340
23.020,2998,5267,7447,8687,10127,13031,5341
24.021,3015,5239,7331,8503,10287,10847,5311
25.021,3008,5235,7343,8751,10023,11183,5321
26.022,3023,5223,7247,8479,9703,12543,5294
27.023,2992,5239,7527,8711,10855,10935,5350
28.024,2996,5267,7335,8703,11071,11287,5343
29.025,2951,5295,7667,9487,12279,13207,5427
30.025,3000,5239,7455,8719,10295,11727,5336
31.026,3009,5235,7335,8591,10687,12159,5319
32.027,3014,5231,7235,8711,10039,12239,5309
33.028,2998,5247,7359,8503,10183,10879,5340
34.028,2981,5291,7315,8431,9823,11015,5368
35.029,3007,5259,7331,8407,10215,11111,5323
36.030,3004,5267,7387,8471,10255,11039,5329
37.030,3005,5231,7435,8591,10087,10271,5327
38.031,3012,5239,7431,8711,10239,11991,5317
39.032,3026,5195,7355,8447,10303,10967,5287
40.033,2984,5267,7451,8711,10023,10855,5368
41.033,3034,5199,7379,8455,9991,11247,5272
42.035,2980,5271,7559,8695,10143,10887,5372
43.035,2955,5311,7495,8631,10055,11519,5423
44.036,2981,5295,7407,8767,10775,11767,5366
45.037,2998,5203,7471,9207,12559,14903,5341
46.037,3005,5251,7275,8455,9855,13271,5326
47.038,2976,5303,7379,8447,10623,11031,5383
48.039,2987,5267,7311,8367,9839,10535,5354
49.040,3006,5231,7279,8343,9975,11479,5328
50.040,3023,5199,7255,8623,10175,10359,5294
51.041,3016,5191,7363,8775,10519,10847,5309
52.042,3009,5251,7515,8487,9799,10295,5319
53.043,2999,5271,7355,8471,9991,10511,5346
54.043,3013,5239,7331,8711,10407,10943,5304
55.045,3000,5235,7507,8703,10887,13647,5338
56.045,3003,5247,7427,8695,10311,12087,5330
57.046,3025,5179,7379,8839,9903,11087,5293
58.047,2944,5319,7511,9271,12039,13519,5428
59.048,2985,5251,7603,8967,12471,15319,5371
60.048,2985,5267,7347,8535,10135,10887,5366
61.049,2965,5339,7427,8679,10415,12191,5397
62.050,2975,5291,7503,8455,9543,11335,5380
63.051,2982,5279,7351,8471,10151,12479,5368
64.051,2929,5335,7727,9271,12591,12831,5465
65.052,2947,5363,7391,8783,10071,10607,5433
66.053,2972,5271,7419,8695,10311,11471,5383
67.053,2979,5283,7475,8767,10215,10543,5374
68.054,2986,5287,7375,8679,10343,10719,5361
69.055,2989,5275,7447,8647,9975,12951,5356
70.055,2954,5339,7531,8671,10223,10255,5417
71.056,2980,5283,7395,8559,10311,12015,5369
72.057,2979,5271,7523,8951,10119,10399,5372
73.058,2970,5299,7527,8807,10159,10535,5396
74.059,2975,5319,7479,8743,10431,12351,5379
75.059,2957,5351,7451,8615,10327,11399,5412
76.060,2961,5351,7387,8551,9999,10631,5407
77.061,2983,5251,7287,8551,10359,11407,5364
78.062,2974,5291,7499,8511,9839,10359,5386
79.062,2962,5283,7475,8759,10167,10695,5400
80.063,2993,5263,7387,8655,10423,11031,5346
81.064,2994,5271,7439,8783,10335,10631,5348
82.064,2998,5247,7535,9183,10927,10951,5339
83.065,2999,5239,7575,8559,10087,11207,5338
84.066,2973,5299,7483,8727,10511,11063,5384
85.067,2968,5307,7451,8719,10071,11655,5395
86.068,3023,5223,7275,8527,9575,10327,5298
87.068,2980,5267,7327,8543,10135,10999,5372
88.069,2946,5359,7583,8903,10951,11847,5432
89.070,2943,5351,7439,9039,10543,10791,5440
90.070,2817,5227,7295,8471,10991,11719,5312
