elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.002,3024,3024,0,5.179,7.275,8.319,9.831,11.071,5.179,8.319
2.003,3024,3024,0,5.235,7.291,8.375,9.559,10.815,5.207,8.375
3.004,3024,3024,0,5.215,7.215,8.247,9.263,11.431,5.211,8.351
4.005,3017,3017,0,5.251,7.243,8.479,10.215,11.351,5.223,8.375
5.006,3007,3007,0,5.263,7.375,8.495,9.855,10.751,5.231,8.391
6.007,2983,2983,0,5.311,7.523,8.799,10.047,11.503,5.243,8.487
7.008,3034,3034,0,5.187,7.283,8.319,10.191,11.743,5.239,8.463
8.009,3038,3038,0,5.191,7.435,8.887,10.247,11.415,5.231,8.511
9.009,3054,3054,0,5.159,7.339,8.439,9.711,10.407,5.223,8.503
10.010,3025,3025,0,5.223,7.379,8.423,10.047,10.703,5.223,8.503
11.011,3020,3020,0,5.239,7.435,8.599,9.799,11.647,5.223,8.503
12.012,2998,2998,0,5.243,7.371,8.623,10.391,11.199,5.227,8.511
13.012,2957,2957,0,5.335,7.487,9.007,10.239,10.975,5.235,8.543
14.013,3006,3006,0,5.243,7.411,8.391,9.959,11.271,5.235,8.535
15.014,3011,3011,0,5.235,7.275,8.639,10.239,10.919,5.235,8.535
16.014,3003,3003,0,5.251,7.383,8.679,10.231,11.367,5.235,8.559
17.015,3013,3013,0,5.239,7.363,8.767,9.831,10.895,5.235,8.567
18.016,3020,3020,0,5.203,7.267,8.727,9.767,11.143,5.235,8.583
19.017,3011,3011,0,5.239,7.359,8.599,10.263,11.607,5.235,8.583
20.018,3003,3003,0,5.259,7.243,8.663,9.887,11.663,5.235,8.583
21.018,2996,2996,0,5.279,7.307,8.559,10.343,11.007,5.239,8.583
22.019,2997,2997,0,5.279,7.299,8.407,9.887,10.543,5.239,8.567
23.020,2998,2998,0,5.267,7.447,8.687,10.127,13.031,5.239,8.575
24.021,3015,3015,0,5.239,7.331,8.503,10.287,10.847,5.239,8.575
25.021,3008,3008,0,5.235,7.343,8.751,10.023,11.183,5.239,8.583
26.022,3023,3023,0,5.223,7.247,8.479,9.703,12.543,5.239,8.583
27.023,2992,2992,0,5.239,7.527,8.711,10.855,10.935,5.239,8.583
28.024,2996,2996,0,5.267,7.335,8.703,11.071,11.287,5.239,8.591
29.025,2951,2951,0,5.295,7.667,9.487,12.279,13.207,5.243,8.607
30.025,3000,3000,0,5.239,7.455,8.719,10.295,11.727,5.243,8.607
31.026,3009,3009,0,5.235,7.335,8.591,10.687,12.159,5.243,8.607
32.027,3014,3014,0,5.231,7.235,8.711,10.039,12.239,5.239,8.607
33.028,2998,2998,0,5.247,7.359,8.503,10.183,10.879,5.243,8.607
34.028,2981,2981,0,5.291,7.315,8.431,9.823,11.015,5.243,8.607
35.029,3007,3007,0,5.259,7.331,8.407,10.215,11.111,5.243,8.599
36.030,3004,3004,0,5.267,7.387,8.471,10.255,11.039,5.243,8.599
37.030,3005,3005,0,5.231,7.435,8.591,10.087,10.271,5.243,8.599
38.031,3012,3012,0,5.239,7.431,8.711,10.239,11.991,5.243,8.599
39.032,3026,3026,0,5.195,7.355,8.447,10.303,10.967,5.243,8.599
40.033,2984,2984,0,5.267,7.451,8.711,10.023,10.855,5.243,8.607
41.033,3034,3034,0,5.199,7.379,8.455,9.991,11.247,5.239,8.599
42.035,2980,2980,0,5.271,7.559,8.695,10.143,10.887,5.243,8.607
43.035,2955,2955,0,5.311,7.495,8.631,10.055,11.519,5.243,8.607
44.036,2981,2981,0,5.295,7.407,8.767,10.775,11.767,5.243,8.607
45.037,2998,2998,0,5.203,7.471,9.207,12.559,14.903,5.243,8.623
46.037,3005,3005,0,5.251,7.275,8.455,9.855,13.271,5.243,8.623
47.038,2976,2976,0,5.303,7.379,8.447,10.623,11.031,5.247,8.615
48.039,2987,2987,0,5.267,7.311,8.367,9.839,10.535,5.247,8.607
49.040,3006,3006,0,5.231,7.279,8.343,9.975,11.479,5.247,8.607
50.040,3023,3023,0,5.199,7.255,8.623,10.175,10.359,5.243,8.607
51.041,3016,3016,0,5.191,7.363,8.775,10.519,10.847,5.243,8.607
52.042,3009,3009,0,5.251,7.515,8.487,9.799,10.295,5.243,8.607
53.043,2999,2999,0,5.271,7.355,8.471,9.991,10.511,5.243,8.607
54.043,3013,3013,0,5.239,7.331,8.711,10.407,10.943,5.243,8.607
55.045,3000,3000,0,5.235,7.507,8.703,10.887,13.647,5.243,8.607
56.045,3003,3003,0,5.247,7.427,8.695,10.311,12.087,5.243,8.607
57.046,3025,3025,0,5.179,7.379,8.839,9.903,11.087,5.243,8.615
58.047,2944,2944,0,5.319,7.511,9.271,12.039,13.519,5.243,8.623
59.048,2985,2985,0,5.251,7.603,8.967,12.471,15.319,5.243,8.631
60.048,2985,2985,0,5.267,7.347,8.535,10.135,10.887,5.243,8.631
61.049,2965,2965,0,5.339,7.427,8.679,10.415,12.191,5.247,8.631
62.050,2975,2975,0,5.291,7.503,8.455,9.543,11.335,5.247,8.623
63.051,2982,2982,0,5.279,7.351,8.471,10.151,12.479,5.247,8.623
64.051,2929,2929,0,5.335,7.727,9.271,12.591,12.831,5.247,8.631
65.052,2947,2947,0,5.363,7.391,8.783,10.071,10.607,5.251,8.639
66.053,2972,2972,0,5.271,7.419,8.695,10.311,11.471,5.251,8.639
67.053,2979,2979,0,5.283,7.475,8.767,10.215,10.543,5.251,8.639
68.054,2986,2986,0,5.287,7.375,8.679,10.343,10.719,5.251,8.639
69.055,2989,2989,0,5.275,7.447,8.647,9.975,12.951,5.251,8.639
70.055,2954,2954,0,5.339,7.531,8.671,10.223,10.255,5.255,8.639
71.056,2980,2980,0,5.283,7.395,8.559,10.311,12.015,5.255,8.639
72.057,2979,2979,0,5.271,7.523,8.951,10.119,10.399,5.255,8.647
73.058,2970,2970,0,5.299,7.527,8.807,10.159,10.535,5.255,8.647
74.059,2975,2975,0,5.319,7.479,8.743,10.431,12.351,5.255,8.647
75.059,2957,2957,0,5.351,7.451,8.615,10.327,11.399,5.255,8.647
76.060,2961,2961,0,5.351,7.387,8.551,9.999,10.631,5.259,8.647
77.061,2983,2983,0,5.251,7.287,8.551,10.359,11.407,5.259,8.647
78.062,2974,2974,0,5.291,7.499,8.511,9.839,10.359,5.259,8.647
79.062,2962,2962,0,5.283,7.475,8.759,10.167,10.695,5.259,8.647
80.063,2993,2993,0,5.263,7.387,8.655,10.423,11.031,5.259,8.647
81.064,2994,2994,0,5.271,7.439,8.783,10.335,10.631,5.259,8.647
82.064,2998,2998,0,5.247,7.535,9.183,10.927,10.951,5.259,8.655
83.065,2999,2999,0,5.239,7.575,8.559,10.087,11.207,5.259,8.655
84.066,2973,2973,0,5.299,7.483,8.727,10.511,11.063,5.259,8.655
85.067,2968,2968,0,5.307,7.451,8.719,10.071,11.655,5.259,8.655
86.068,3023,3023,0,5.223,7.275,8.527,9.575,10.327,5.259,8.655
87.068,2980,2980,0,5.267,7.327,8.543,10.135,10.999,5.259,8.655
88.069,2946,2946,0,5.359,7.583,8.903,10.951,11.847,5.259,8.655
89.070,2943,2943,0,5.351,7.439,9.039,10.543,10.791,5.263,8.655
90.070,2817,2817,0,5.227,7.295,8.471,10.991,11.719,5.263,8.655
