elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,2710,5803,8147,9511,11815,16863,5890
2.003,2740,5763,8031,9367,10559,12071,5846
3.004,2715,5819,8191,9359,10983,15335,5897
4.004,2717,5811,8175,9615,11711,13167,5889
5.006,2747,5727,8059,9391,11559,12911,5829
6.007,2719,5827,8247,9407,11311,12879,5885
7.007,2759,5719,8091,9479,11143,12111,5809
8.008,2769,5727,8019,9319,10983,12631,5780
9.009,2734,5783,8111,9383,11191,11927,5855
10.009,2756,5719,8103,9391,10751,12167,5808
11.010,2771,5691,7947,9271,11295,14255,5781
12.011,2722,5783,8163,9391,11303,12015,5877
13.012,2739,5751,8075,9359,11015,12087,5842
14.013,2739,5763,8191,9263,10639,11887,5853
15.014,2759,5679,7931,9199,11343,13831,5793
16.014,2752,5739,8023,9167,10951,12239,5819
17.015,2751,5715,8075,9471,11191,12207,5819
18.016,2738,5779,8095,9263,11103,12327,5849
19.016,2734,5779,8087,9271,10831,12119,5851
20.017,2726,5775,8047,9231,10863,12207,5872
21.018,2722,5783,8091,9447,11783,12167,5881
22.019,2720,5771,8255,10079,12183,12455,5884
23.019,2723,5791,8335,9599,11399,12303,5878
24.020,2711,5807,8155,9567,12135,13159,5908
25.021,2719,5807,8175,9639,12071,12967,5883
26.021,2720,5823,7971,9247,11559,11991,5877
27.022,2733,5779,8119,9583,10871,11399,5868
28.023,2716,5763,8143,9447,10959,12695,5893
29.023,2701,5859,8207,9375,10815,12279,5921
30.024,2730,5763,8119,9751,11471,13743,5867
31.025,2728,5763,8239,9791,12719,16199,5871
32.026,2723,5775,8207,9719,11311,13935,5878
33.027,2729,5771,8135,9495,11423,11999,5867
34.027,2709,5815,8135,9615,11543,12183,5905
35.028,2711,5819,8119,9415,11663,12143,5908
36.029,2726,5795,8003,9159,11207,12071,5870
37.030,2712,5811,8131,9335,11263,12599,5901
38.031,2705,5851,8019,9383,11615,11999,5919
39.031,2646,5891,8535,10391,12231,17663,6053
40.032,2722,5775,8139,9567,11967,12191,5876
41.033,2697,5839,8407,9799,11775,14479,5938
42.034,2711,5827,8103,9375,12023,14935,5906
43.035,2711,5815,8131,9359,10727,10991,5905
44.035,2715,5803,8055,9479,10895,11679,5897
45.036,2715,5827,8043,9399,11351,11999,5896
46.037,2719,5751,8223,9687,11631,12943,5890
47.038,2736,5747,8119,9399,11063,12807,5847
48.038,2747,5735,8071,9367,11519,12743,5829
49.039,2717,5795,8047,9335,10951,11647,5887
50.040,2712,5795,8047,9575,11895,12367,5907
51.041,2696,5843,8119,9391,10863,11639,5937
52.041,2725,5775,8107,9503,10927,11399,5872
53.042,2732,5783,8099,9343,10983,13559,5864
54.043,2673,5831,8367,10127,13631,14047,5981
55.044,2728,5799,8139,9359,10791,11255,5875
56.044,2719,5775,8143,9375,10919,12791,5886
57.045,2708,5827,8187,9647,11767,12159,5912
58.046,2748,5759,8123,9391,11031,11711,5825
59.046,2718,5847,8027,9175,10975,12695,5889
60.047,2733,5743,8071,9479,11391,14151,5859
61.048,2695,5867,8155,9319,10863,11143,5934
62.049,2708,5835,8099,9503,10607,11263,5915
63.049,2716,5783,8119,9415,11431,11815,5894
64.050,2700,5843,8271,9647,12247,12671,5921
65.051,2686,5855,8335,9887,11919,13911,5964
66.051,2716,5803,8199,9591,11519,12143,5895
67.052,2661,5911,8383,9463,12255,13447,6012
68.053,2725,5759,8271,9631,11815,13199,5879
69.054,2689,5839,8207,9703,11903,15495,5955
70.055,2702,5835,8163,9711,12527,13215,5926
71.056,2706,5827,8095,9471,11143,12255,5917
72.056,2720,5803,8071,9399,10815,11119,5888
73.057,2700,5843,8167,9423,10959,11831,5918
74.058,2728,5779,8183,9319,10983,12839,5875
75.058,2700,5819,8199,9495,13695,16927,5927
76.059,2721,5775,8003,9487,11415,13047,5882
77.060,2696,5851,8043,9551,11711,12167,5942
78.061,2711,5823,8207,9431,12087,13311,5900
79.061,2740,5779,8035,9279,11439,15727,5844
80.062,2743,5727,8255,9367,11351,12391,5836
81.063,2726,5811,8095,9439,11311,12159,5870
82.064,2717,5779,8399,9967,11543,12279,5896
83.064,2726,5779,8083,9383,11263,12799,5876
84.066,2687,5819,8391,9975,12207,16655,5953
85.066,2685,5875,8255,9671,10703,12439,5959
86.067,2713,5831,8151,9543,10927,11823,5899
87.068,2695,5819,8147,9271,10783,11623,5942
88.068,2712,5807,8231,9703,11063,12287,5896
89.069,2729,5771,8099,9543,11647,12079,5874
90.070,2550,5811,8199,9543,10903,12047,5880
