elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.002,2710,2710,0,5.803,8.147,9.511,11.815,16.863,5.803,9.511
2.003,2740,2740,0,5.763,8.031,9.367,10.559,12.071,5.783,9.431
3.004,2715,2715,0,5.819,8.191,9.359,10.983,15.335,5.795,9.423
4.004,2717,2717,0,5.811,8.175,9.615,11.711,13.167,5.795,9.447
5.006,2747,2747,0,5.727,8.059,9.391,11.559,12.911,5.783,9.431
6.007,2719,2719,0,5.827,8.247,9.407,11.311,12.879,5.787,9.431
7.007,2759,2759,0,5.719,8.091,9.479,11.143,12.111,5.779,9.431
8.008,2769,2769,0,5.727,8.019,9.319,10.983,12.631,5.771,9.407
9.009,2734,2734,0,5.783,8.111,9.383,11.191,11.927,5.771,9.399
10.009,2756,2756,0,5.719,8.103,9.391,10.751,12.167,5.767,9.399
11.010,2771,2771,0,5.691,7.947,9.271,11.295,14.255,5.759,9.399
12.011,2722,2722,0,5.783,8.163,9.391,11.303,12.015,5.763,9.399
13.012,2739,2739,0,5.751,8.075,9.359,11.015,12.087,5.759,9.399
14.013,2739,2739,0,5.763,8.191,9.263,10.639,11.887,5.759,9.391
15.014,2759,2759,0,5.679,7.931,9.199,11.343,13.831,5.755,9.375
16.014,2752,2752,0,5.739,8.023,9.167,10.951,12.239,5.755,9.359
17.015,2751,2751,0,5.715,8.075,9.471,11.191,12.207,5.751,9.367
18.016,2738,2738,0,5.779,8.095,9.263,11.103,12.327,5.755,9.367
19.016,2734,2734,0,5.779,8.087,9.271,10.831,12.119,5.755,9.359
20.017,2726,2726,0,5.775,8.047,9.231,10.863,12.207,5.755,9.359
21.018,2722,2722,0,5.783,8.091,9.447,11.783,12.167,5.759,9.359
22.019,2720,2720,0,5.771,8.255,10.079,12.183,12.455,5.759,9.391
23.019,2723,2723,0,5.791,8.335,9.599,11.399,12.303,5.759,9.399
24.020,2711,2711,0,5.807,8.155,9.567,12.135,13.159,5.763,9.407
25.021,2719,2719,0,5.807,8.175,9.639,12.071,12.967,5.763,9.423
26.021,2720,2720,0,5.823,7.971,9.247,11.559,11.991,5.767,9.407
27.022,2733,2733,0,5.779,8.119,9.583,10.871,11.399,5.767,9.415
28.023,2716,2716,0,5.763,8.143,9.447,10.959,12.695,5.767,9.415
29.023,2701,2701,0,5.859,8.207,9.375,10.815,12.279,5.771,9.407
30.024,2730,2730,0,5.763,8.119,9.751,11.471,13.743,5.771,9.423
31.025,2728,2728,0,5.763,8.239,9.791,12.719,16.199,5.771,9.431
32.026,2723,2723,0,5.775,8.207,9.719,11.311,13.935,5.771,9.447
33.027,2729,2729,0,5.771,8.135,9.495,11.423,11.999,5.771,9.447
34.027,2709,2709,0,5.815,8.135,9.615,11.543,12.183,5.771,9.447
35.028,2711,2711,0,5.819,8.119,9.415,11.663,12.143,5.771,9.447
36.029,2726,2726,0,5.795,8.003,9.159,11.207,12.071,5.771,9.439
37.030,2712,2712,0,5.811,8.131,9.335,11.263,12.599,5.775,9.431
38.031,2705,2705,0,5.851,8.019,9.383,11.615,11.999,5.775,9.431
39.031,2646,2646,0,5.891,8.535,10.391,12.231,17.663,5.779,9.463
40.032,2722,2722,0,5.775,8.139,9.567,11.967,12.191,5.779,9.463
41.033,2697,2697,0,5.839,8.407,9.799,11.775,14.479,5.779,9.471
42.034,2711,2711,0,5.827,8.103,9.375,12.023,14.935,5.783,9.471
43.035,2711,2711,0,5.815,8.131,9.359,10.727,10.991,5.783,9.471
44.035,2715,2715,0,5.803,8.055,9.479,10.895,11.679,5.783,9.471
45.036,2715,2715,0,5.827,8.043,9.399,11.351,11.999,5.783,9.471
46.037,2719,2719,0,5.751,8.223,9.687,11.631,12.943,5.783,9.479
47.038,2736,2736,0,5.747,8.119,9.399,11.063,12.807,5.783,9.471
48.038,2747,2747,0,5.735,8.071,9.367,11.519,12.743,5.783,9.471
49.039,2717,2717,0,5.795,8.047,9.335,10.951,11.647,5.783,9.471
50.040,2712,2712,0,5.795,8.047,9.575,11.895,12.367,5.783,9.471
51.041,2696,2696,0,5.843,8.119,9.391,10.863,11.639,5.783,9.471
52.041,2725,2725,0,5.775,8.107,9.503,10.927,11.399,5.783,9.471
53.042,2732,2732,0,5.783,8.099,9.343,10.983,13.559,5.783,9.471
54.043,2673,2673,0,5.831,8.367,10.127,13.631,14.047,5.783,9.487
55.044,2728,2728,0,5.799,8.139,9.359,10.791,11.255,5.783,9.479
56.044,2719,2719,0,5.775,8.143,9.375,10.919,12.791,5.783,9.479
57.045,2708,2708,0,5.827,8.187,9.647,11.767,12.159,5.787,9.487
58.046,2748,2748,0,5.759,8.123,9.391,11.031,11.711,5.783,9.479
59.046,2718,2718,0,5.847,8.027,9.175,10.975,12.695,5.787,9.479
60.047,2733,2733,0,5.743,8.071,9.479,11.391,14.151,5.783,9.479
61.048,2695,2695,0,5.867,8.155,9.319,10.863,11.143,5.787,9.471
62.049,2708,2708,0,5.835,8.099,9.503,10.607,11.263,5.787,9.479
63.049,2716,2716,0,5.783,8.119,9.415,11.431,11.815,5.787,9.471
64.050,2700,2700,0,5.843,8.271,9.647,12.247,12.671,5.787,9.479
65.051,2686,2686,0,5.855,8.335,9.887,11.919,13.911,5.791,9.487
66.051,2716,2716,0,5.803,8.199,9.591,11.519,12.143,5.791,9.487
67.052,2661,2661,0,5.911,8.383,9.463,12.255,13.447,5.791,9.487
68.053,2725,2725,0,5.759,8.271,9.631,11.815,13.199,5.791,9.495
69.054,2689,2689,0,5.839,8.207,9.703,11.903,15.495,5.791,9.495
70.055,2702,2702,0,5.835,8.163,9.711,12.527,13.215,5.791,9.495
71.056,2706,2706,0,5.827,8.095,9.471,11.143,12.255,5.791,9.495
72.056,2720,2720,0,5.803,8.071,9.399,10.815,11.119,5.791,9.495
73.057,2700,2700,0,5.843,8.167,9.423,10.959,11.831,5.795,9.495
74.058,2728,2728,0,5.779,8.183,9.319,10.983,12.839,5.795,9.487
75.058,2700,2700,0,5.819,8.199,9.495,13.695,16.927,5.795,9.495
76.059,2721,2721,0,5.775,8.003,9.487,11.415,13.047,5.795,9.495
77.060,2696,2696,0,5.851,8.043,9.551,11.711,12.167,5.795,9.495
78.061,2711,2711,0,5.823,8.207,9.431,12.087,13.311,5.795,9.495
79.061,2740,2740,0,5.779,8.035,9.279,11.439,15.727,5.795,9.487
80.062,2743,2743,0,5.727,8.255,9.367,11.351,12.391,5.795,9.487
81.063,2726,2726,0,5.811,8.095,9.439,11.311,12.159,5.795,9.487
82.064,2717,2717,0,5.779,8.399,9.967,11.543,12.279,5.795,9.495
83.064,2726,2726,0,5.779,8.083,9.383,11.263,12.799,5.795,9.495
84.066,2687,2687,0,5.819,8.391,9.975,12.207,16.655,5.795,9.503
85.066,2685,2685,0,5.875,8.255,9.671,10.703,12.439,5.795,9.503
86.067,2713,2713,0,5.831,8.151,9.543,10.927,11.823,5.795,9.503
87.068,2695,2695,0,5.819,8.147,9.271,10.783,11.623,5.795,9.503
88.068,2712,2712,0,5.807,8.231,9.703,11.063,12.287,5.795,9.503
89.069,2729,2729,0,5.771,8.099,9.543,11.647,12.079,5.795,9.503
90.070,2550,2550,0,5.811,8.199,9.543,10.903,12.047,5.795,9.503
