elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.007,455,22127,29199,31071,34975,34975,16341
2.015,427,23343,30367,32959,34047,34047,16657
3.020,456,23871,29423,31215,32719,32719,17304
4.026,465,22095,30911,32559,80767,80767,16691
5.031,432,24367,30319,31807,32991,32991,17504
6.037,441,23247,30287,32207,34847,34847,16187
7.042,430,21839,29791,31583,32799,32799,16444
8.047,447,24751,30335,31535,32207,32207,17480
9.053,443,17343,30415,32271,33631,33631,16036
10.058,459,23295,30159,32383,34239,34239,16619
11.063,459,23295,30559,32751,35199,35199,16887
12.068,430,14943,29919,31775,33183,33183,15883
13.073,428,23423,31375,35647,36895,36895,17121
14.078,422,14487,31679,34751,36287,36287,16284
15.083,457,21567,30175,33087,35455,35455,15981
16.088,464,14447,30831,33279,34559,34559,16050
17.093,411,23535,30303,32399,33599,33599,16716
18.099,458,23407,29967,31951,33215,33215,16654
19.103,431,14543,30463,32431,33055,33055,16225
20.107,475,14655,30671,32655,34143,34143,15871
21.112,461,23791,30783,32399,35615,35615,16801
22.116,460,23743,29663,32271,35135,35135,17220
23.122,428,24735,30767,32959,33727,33727,17752
24.127,467,13999,29983,32319,34431,34431,15641
25.134,434,23231,30319,32271,33503,33503,16938
26.139,433,23135,30991,32079,32895,32895,16536
27.144,470,14959,29215,30751,32175,32175,15965
28.148,419,23471,29663,31407,33311,33311,16567
29.153,422,23759,31583,33823,35935,35935,16966
30.158,413,24575,30623,36799,38463,38463,16969
31.163,441,24607,31119,32831,36095,36095,16972
32.168,438,17183,30815,32927,38975,38975,16036
33.173,437,23199,30287,33919,35135,35135,16790
34.178,426,21391,31343,35519,37983,37983,16204
35.183,425,23951,30783,34271,36447,36447,17123
36.188,419,24287,31999,34079,35167,35167,16956
37.193,438,22047,29359,33023,34111,34111,16454
38.198,408,22399,30095,32159,1812479,1812479,20998
39.203,424,14151,31199,34271,35903,35903,15777
40.208,417,15639,31631,33407,35839,35839,16482
41.213,455,16263,32351,34783,36639,36639,16454
42.218,399,20991,32655,36799,39167,39167,17419
43.223,441,23455,29439,31055,31775,31775,16913
44.228,444,21791,29231,31807,34399,34399,15851
45.232,398,22319,31023,34815,35967,35967,16534
46.236,429,15255,30207,31583,32959,32959,16036
47.242,450,22687,29839,31135,32095,32095,16895
48.248,470,22719,30047,31983,32527,32527,16282
49.254,444,21071,30111,32015,35423,35423,16489
50.258,420,21295,30031,32639,35103,35103,16320
51.263,412,23567,30623,33983,36351,36351,16676
52.268,413,20703,29663,31583,33503,33503,16216
53.272,456,21231,29967,31439,32639,32639,16039
54.277,438,16479,30847,33439,34271,34271,16300
55.281,413,23407,30799,35167,36543,36543,16972
56.286,434,15063,31503,33471,34527,34527,16643
57.290,411,21199,29663,31423,32463,32463,16385
58.294,446,13375,30655,33695,34655,34655,15739
59.300,406,23631,31631,33503,37439,37439,17235
60.305,421,23407,30415,33439,36031,36031,16734
61.309,431,24431,30303,32655,33471,33471,17280
62.314,447,22591,31119,32319,37919,37919,16697
63.319,416,22703,30287,31279,31791,31791,16279
64.324,421,24399,30927,32863,1766399,1766399,21278
65.329,452,22927,31519,33375,34303,34303,17168
66.335,414,24671,31743,38527,39743,39743,17522
67.339,392,22975,31311,33439,34111,34111,16885
68.344,437,13199,29359,34815,36511,36511,15287
69.348,436,23503,30815,33119,33567,33567,16982
70.353,424,22559,29855,31983,33343,33343,16295
71.357,413,22911,29679,31471,1651711,1651711,20575
72.364,429,16943,30463,32671,33631,33631,16393
73.369,459,23023,30335,32799,34815,34815,16868
74.373,419,24207,31327,33375,34687,34687,17602
75.379,444,22271,31599,35135,37311,37311,16439
76.383,425,23615,30271,32463,33951,33951,16554
77.388,460,23183,30975,33695,34815,34815,17063
78.393,407,23711,29983,31487,32319,32319,17071
79.398,425,15767,29631,32079,33247,33247,15800
80.402,419,22223,30351,33503,34399,34399,16340
81.407,431,21695,31359,34687,37599,37599,16857
82.412,428,17343,31167,33471,36991,36991,16403
83.417,444,23807,30191,32015,32655,32655,16732
84.423,457,23071,31135,33759,35135,35135,16822
85.427,430,22511,30751,33823,34495,34495,16696
86.432,449,23487,30511,33055,34559,34559,17481
87.436,415,22671,30831,32175,33151,33151,16568
88.441,419,23679,32127,34079,34751,34751,17302
89.445,454,24575,31087,32303,32799,32799,17586
90.449,251,14863,29919,31599,31935,31935,16343
