elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.007,1341,10703,14671,15951,16975,18159,8004
2.015,1387,10999,15167,16119,17167,17391,8081
3.020,1366,10991,14175,15967,16783,16943,8121
4.026,1314,11279,15279,16767,17983,18079,8483
5.031,1323,11207,14447,15559,16703,17375,8165
6.037,1314,10631,14959,16103,17887,18287,8361
7.042,1397,10583,14975,16511,18319,18815,8254
8.047,1276,11199,14783,16247,17679,17695,8268
9.053,1292,11071,15255,16303,17487,17487,8263
10.058,1288,11423,14943,16607,18527,18847,8457
11.063,1267,10831,15031,16831,18591,18783,8143
12.068,1336,10503,14671,15847,16975,17151,8008
13.073,1315,11183,14999,17807,19935,20111,8419
14.078,1301,11319,15799,17199,20271,20575,8314
15.083,1349,10575,14335,16639,17887,19551,8171
16.088,1332,11143,15071,16991,17999,18175,8429
17.093,1292,11103,15063,16799,19455,19471,8498
18.099,1307,11239,14559,15727,17295,18031,8561
19.103,1310,11367,14967,15815,17375,17407,8526
20.107,1300,10895,15039,15975,17551,18479,8245
21.112,1217,11183,15015,16911,18815,19439,8376
22.116,1301,11151,14743,16943,18319,18351,8479
23.122,1282,11455,15135,16447,17631,17679,8425
24.127,1354,11047,14695,16175,17151,18015,8410
25.134,1267,11295,14887,15743,17135,17311,8510
26.139,1363,11095,15199,16351,17551,17679,8301
27.144,1320,10439,13967,14935,15447,15487,8015
28.148,1324,11007,14559,15359,19727,20175,8268
29.153,1311,11415,15271,16479,17583,18031,8371
30.158,1323,11799,14591,15983,21647,21967,8703
31.163,1246,11423,15119,16639,18255,19295,8396
32.168,1266,10383,15271,17487,19119,20095,8046
33.173,1228,11039,15183,19839,21919,22015,8288
34.178,1286,10623,15719,18895,21295,21455,8344
35.183,1364,10871,14991,17007,19423,19439,8097
36.188,1293,11247,15343,17199,17775,18271,8759
37.193,1318,9879,14047,15087,16135,16447,7739
38.198,1306,10855,14519,15975,16991,17711,8157
39.203,1251,11975,16183,18255,19135,19295,8933
40.208,1321,11007,15359,16607,17919,18191,8424
41.213,1374,10647,15431,16607,17519,19183,8229
42.218,1295,11679,16591,18799,21519,21711,8789
43.223,1323,11431,14983,16095,17631,18015,8617
44.228,1298,10519,14559,16303,17407,17759,8124
45.232,1270,11263,15351,17087,18767,18831,8631
46.236,1310,11007,14959,16399,17583,17647,8326
47.242,1249,11311,14575,15799,17951,18255,8475
48.248,1233,11263,14671,15535,16799,16895,8374
49.254,1269,11263,15111,16815,18415,18447,8579
50.258,1360,10503,14263,16127,17647,18415,8105
51.263,1330,11095,15223,17631,18623,18863,8417
52.268,1364,10623,15207,16799,18095,19583,8273
53.272,1325,9751,14671,15959,16815,16943,7760
54.277,1303,11071,15295,16559,18095,18223,8440
55.281,1303,11351,15071,17919,19935,20175,8434
56.286,1277,11391,15055,17071,18943,19343,8403
57.290,1340,10391,14527,15927,16895,16895,8097
58.294,1299,10959,15455,16591,17343,17423,8390
59.300,1243,11119,15343,17023,18255,19295,8557
60.305,1233,10991,14671,17471,18239,18255,8427
61.309,1282,11711,14919,17119,18735,18847,8891
62.314,1252,10767,15615,17903,19071,19359,8106
63.319,1271,11263,15055,16639,17663,17695,8546
64.324,1272,11647,15279,16071,17503,18127,8603
65.329,1321,10783,15423,16863,17695,17695,8188
66.335,1278,11639,15367,17551,24799,24847,8674
67.339,1318,10759,15511,17535,19455,19903,8150
68.344,1293,10735,13975,15895,21615,21695,8120
69.348,1291,10879,14831,16063,18959,19311,8334
70.353,1236,11103,14751,16159,17599,17679,8117
71.357,1303,11263,14567,15911,17359,18399,8395
72.364,1367,10775,15055,16263,17247,17375,8386
73.369,1277,11311,15135,16095,16719,16959,8551
74.373,1315,11327,15607,16751,17951,17983,8528
75.379,1327,10895,15895,18191,19407,19967,8260
76.383,1317,11543,14927,17711,19567,19743,8568
77.388,1223,11255,15607,16991,18175,19327,8549
78.393,1328,10095,14687,15863,17071,17887,7934
79.398,1294,10663,14423,15807,16511,16575,8122
80.402,1351,11167,15719,17279,19311,19359,8649
81.407,1324,10783,15447,16639,17839,18463,8382
82.412,1353,11191,15271,17407,20367,20415,8448
83.417,1311,11271,14967,16119,17071,17679,8774
84.423,1224,9671,15287,16639,19263,19359,7837
85.427,1281,10575,14815,20831,22495,22543,8131
86.432,1306,10495,14927,16415,17055,17359,8352
87.436,1309,10759,15119,17135,18287,18367,8478
88.441,1258,11815,16175,17999,18927,19071,8851
89.445,1308,11183,15351,16767,18383,18415,8249
90.449,708,11183,14847,15727,16559,16559,8682
