elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.007,1319,214,551,1389,9671,10519,290
2.015,1396,205,401,636,1012,1424,224
3.020,1319,203,398,614,1223,1328,223
4.026,1223,200,374,632,1567,1749,220
5.031,1411,199,394,692,1640,1757,223
6.037,1405,200,393,533,1586,1752,220
7.042,1356,205,418,673,999,1564,226
8.047,1321,201,399,665,1289,1419,225
9.053,1335,206,432,978,1460,1714,237
10.058,1340,196,407,886,2265,2819,228
11.063,1290,202,379,569,1699,2009,222
12.068,1347,203,424,660,4077,4199,232
13.073,1286,198,404,716,1153,1184,222
14.078,1309,203,400,733,1087,1367,225
15.083,1289,207,438,926,1576,1660,238
16.088,1338,214,449,897,1552,1771,242
17.093,1272,202,440,736,1821,2129,232
18.099,1395,211,403,804,1218,1782,233
19.103,1380,202,419,700,1123,1127,225
20.107,1265,207,431,796,1935,2735,235
21.112,1266,200,414,810,1537,1873,229
22.116,1325,203,413,646,1394,1599,227
23.122,1290,201,407,772,1511,1550,226
24.127,1328,209,410,707,1730,2401,234
25.134,1294,205,404,744,1415,2231,228
26.139,1297,203,400,677,1321,1564,225
27.144,1411,213,419,693,1056,1613,235
28.148,1314,203,430,725,1652,3943,231
29.153,1214,200,400,587,1170,1378,222
30.158,1312,205,418,825,1551,1888,234
31.163,1225,207,439,777,1341,1357,235
32.168,1439,207,414,816,2223,2237,235
33.173,1294,204,411,684,1786,2907,229
34.178,1250,207,437,973,1430,2149,237
35.183,1337,208,434,700,888,1086,230
36.188,1358,204,415,588,1127,1284,225
37.193,1315,204,433,671,2153,2321,231
38.198,1290,211,426,746,1190,1611,236
39.203,1328,208,429,687,1316,1357,233
40.208,1309,213,444,667,1657,1776,241
41.213,1321,208,411,729,1284,1411,231
42.218,1270,209,456,835,1502,1819,241
43.223,1279,206,443,853,1510,1902,234
44.228,1314,205,411,739,1211,1518,229
45.232,1334,203,381,626,2219,3405,229
46.236,1359,207,408,635,1030,1034,228
47.242,1351,205,401,683,1313,1523,228
48.248,1290,203,396,705,1190,1472,226
49.254,1234,207,399,623,1633,1814,230
50.258,1412,206,449,764,1953,2011,237
51.263,1321,199,427,702,2167,2585,230
52.268,1274,203,410,701,983,1380,227
53.272,1354,207,456,779,1253,1993,238
54.277,1315,200,434,807,1428,1532,229
55.281,1247,200,443,881,1630,1679,232
56.286,1282,207,394,900,1539,2041,231
57.290,1297,212,495,949,1326,1541,249
58.294,1346,208,424,619,1490,1620,231
59.300,1321,199,458,757,1537,1681,232
60.305,1318,204,474,827,1465,1621,238
61.309,1312,219,477,810,2195,2499,246
62.314,1258,209,482,890,1746,2615,247
63.319,1274,202,416,758,1305,1364,230
64.324,1271,204,404,633,1943,2149,228
65.329,1383,203,391,688,1038,3783,227
66.335,1253,206,411,783,1426,1759,229
67.339,1267,213,452,977,3009,3649,247
68.344,1322,211,414,690,1995,2061,234
69.348,1296,205,456,1035,1586,1998,237
70.353,1249,201,436,757,1546,1924,230
71.357,1313,205,471,871,1350,1747,239
72.364,1330,204,485,1172,1769,1991,243
73.369,1221,209,494,1277,1795,2645,246
74.373,1328,203,399,603,1835,1900,225
75.379,1347,215,418,692,1125,1366,237
76.383,1322,203,418,700,1576,2845,231
77.388,1310,210,476,908,1531,1568,244
78.393,1271,203,423,820,1400,1646,231
79.398,1369,206,405,697,1196,1226,227
80.402,1307,203,382,576,1569,3027,225
81.407,1293,209,410,596,1538,1820,231
82.412,1250,213,425,784,1776,2042,241
83.417,1313,205,394,623,1381,1761,226
84.423,1272,209,434,824,1998,2675,240
85.427,1270,207,428,831,1954,3631,237
86.432,1246,202,421,929,2137,3003,234
87.436,1299,208,415,795,1876,2061,233
88.441,1244,205,432,826,1511,3803,237
89.445,1325,203,422,799,1431,2829,231
90.449,689,208,424,655,6135,6135,238
