elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.007,1322,12967,17519,19087,24735,24911,10138
2.015,1328,13335,17679,19663,20767,20911,10226
3.020,1316,12887,16527,17727,20751,21711,9788
4.026,1281,12863,17359,19807,77183,80063,10143
5.031,1300,13207,16991,18223,20287,22223,10377
6.037,1328,13415,17711,20255,21599,21727,10353
7.042,1283,12975,17583,18959,20303,20351,10308
8.047,1352,13159,17535,18927,19535,21055,10002
9.053,1361,13399,17519,18991,20671,21023,10316
10.058,1314,13167,17535,19087,20543,20927,10175
11.063,1351,13343,17359,18895,21807,21871,10179
12.068,1342,13663,17567,19535,21519,23103,10616
13.073,1313,13047,18271,20799,23903,24783,10291
14.078,1361,13815,17903,19551,20671,20815,10444
15.083,1299,12807,17583,20143,21039,21647,10143
16.088,1294,13215,17407,18783,19343,617983,10450
17.093,1347,13439,17887,19503,20927,22015,10313
18.099,1264,13191,17695,20943,23199,23599,10363
19.103,1324,13367,17759,19519,20335,20431,10272
20.107,1317,13311,18207,20303,22015,22415,10326
21.112,1299,13487,18511,20367,22079,22447,10658
22.116,1275,13055,17695,21327,22799,25039,10146
23.122,1291,13559,17743,20031,21855,22447,10479
24.127,1273,13311,17567,19231,20319,20879,10350
25.134,1357,13375,17391,19119,20207,20335,10142
26.139,1276,13439,17407,18527,20479,21247,10359
27.144,1281,13055,16671,17983,19423,19951,9908
28.148,1317,13295,17727,19087,20847,1626111,11501
29.153,1293,13623,18095,20479,24095,25135,10606
30.158,1278,13743,17215,21551,23439,24543,10408
31.163,1350,13423,18271,19871,20495,21823,10353
32.168,1321,13735,18207,21279,24991,25055,10735
33.173,1313,13111,17407,21359,24079,24095,10156
34.178,1302,13447,18591,21327,22719,1761279,11971
35.183,1285,13359,18159,20271,22543,22575,10544
36.188,1276,13359,17807,19615,20815,20975,10458
37.193,1312,12815,17103,20607,22367,22591,10340
38.198,1328,13319,17279,19439,20703,21727,10234
39.203,1312,13991,18383,20527,22191,22239,10675
40.208,1324,13487,18367,19823,21903,22287,10319
41.213,1279,13407,17903,19311,20511,20639,10299
42.218,1266,13967,18559,20431,22527,22575,10692
43.223,1234,13167,17071,18463,19551,19791,10091
44.228,1304,12815,17455,18639,19583,20303,10183
45.232,1331,12791,17215,18703,22255,1713151,11181
46.236,1306,13175,17631,19359,20687,1690623,11420
47.242,1355,13279,16911,18207,19007,19167,9898
48.248,1278,13111,16719,18687,20095,20847,10101
49.254,1286,13287,17375,19775,21807,1643519,11572
50.258,1345,13527,18367,20127,21039,21407,10418
51.263,1280,13391,17471,19375,21487,21951,10589
52.268,1300,12823,17391,19343,21663,21919,9924
53.272,1297,12567,18415,20367,21535,1745919,11261
54.277,1271,12975,17983,20143,24463,1720319,11389
55.281,1303,13575,17759,20991,22495,22943,10598
56.286,1312,13615,17599,18927,19839,20431,10345
57.290,1293,13079,16927,18719,20015,20015,10249
58.294,1260,13671,17679,20015,21231,1693695,12042
59.300,1288,13575,19119,22255,23887,24175,11097
60.305,1355,13263,17967,21439,23823,24175,10615
61.309,1269,13519,17375,19647,21263,21439,10273
62.314,1287,13615,19023,20127,20831,20879,10557
63.319,1297,13271,17247,18943,20159,20159,10174
64.324,1290,13535,17887,19407,21855,21919,10507
65.329,1259,13263,18735,20575,21583,22719,10509
66.335,1295,13535,17887,23343,25791,26735,10465
67.339,1324,13247,18815,21199,23359,23951,10365
68.344,1318,13359,17071,20831,23215,1741823,11672
69.348,1269,13447,18367,20863,22223,22575,10559
70.353,1270,13071,17007,18047,19183,19951,10157
71.357,1300,13199,17199,19215,19823,1643519,11284
72.364,1319,13159,17151,18559,20031,20031,10111
73.369,1254,13415,17311,19695,22175,22607,10538
74.373,1271,13663,17839,19247,20319,20367,10456
75.379,1284,13335,18543,20351,21199,21599,10470
76.383,1296,13631,17183,18959,20383,20671,10499
77.388,1273,13647,18751,20751,21471,21519,10646
78.393,1333,13399,17263,18511,19231,19295,10225
79.398,1331,13063,17519,18959,20063,1724415,11521
80.402,1287,13111,17551,19119,19983,19983,10327
81.407,1305,13079,18271,20415,22735,23407,10286
82.412,1279,13487,18335,21135,22127,22703,10544
83.417,1263,13111,17471,19439,21023,21263,10226
84.423,1298,13647,18015,19615,20991,21055,10644
85.427,1296,12935,17679,19983,23631,1720319,11514
86.432,1252,13543,17791,19647,22927,23487,10552
87.436,1328,13151,17983,19519,21455,22063,10411
88.441,1315,13607,17599,19343,20719,23183,10175
89.445,1271,13519,17855,19167,20079,20271,10302
90.449,743,13727,18063,19855,21935,21935,10602
