elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.007,4437,4437,0,2.331,22.959,28.479,31.071,34.975,2.331,28.479
2.015,4538,4538,0,2.151,20.079,29.311,32.959,34.047,2.225,28.863
3.020,4457,4457,0,2.467,24.047,28.303,31.215,32.719,2.305,28.767
4.026,4283,4283,0,2.495,24.255,29.503,33.247,80.767,2.351,28.959
5.031,4466,4466,0,2.249,24.175,28.927,31.807,32.991,2.333,28.959
6.037,4488,4488,0,2.243,22.495,29.071,32.207,34.847,2.315,28.959
7.042,4466,4466,0,2.477,20.351,28.735,31.583,32.799,2.339,28.911
8.047,4396,4396,0,2.365,24.863,29.519,31.535,32.207,2.343,28.959
9.053,4431,4431,0,2.275,19.951,29.183,32.271,33.631,2.331,28.975
10.058,4401,4401,0,2.265,23.711,29.039,32.383,34.239,2.327,28.975
11.063,4367,4367,0,2.383,24.159,29.535,32.751,35.199,2.331,29.039
12.068,4455,4455,0,2.381,19.663,29.087,31.775,33.183,2.335,29.055
13.073,4342,4342,0,2.605,23.423,29.151,35.647,36.895,2.351,29.071
14.078,4393,4393,0,2.253,19.807,30.175,34.751,36.287,2.343,29.151
15.083,4394,4394,0,2.553,22.479,29.007,33.087,35.455,2.355,29.119
16.088,4428,4428,0,2.331,19.343,29.967,33.599,617.983,2.355,29.215
17.093,4322,4322,0,2.585,20.463,29.183,32.399,33.599,2.369,29.215
18.099,4424,4424,0,2.399,23.919,28.815,31.951,33.215,2.369,29.199
19.103,4445,4445,0,2.285,19.471,29.439,32.431,33.055,2.361,29.215
20.107,4357,4357,0,2.521,23.743,29.423,32.655,34.143,2.369,29.215
21.112,4243,4243,0,2.559,24.623,29.727,32.399,35.615,2.379,29.231
22.116,4361,4361,0,2.539,24.399,28.863,32.271,35.135,2.383,29.215
23.122,4291,4291,0,2.253,24.735,29.839,32.959,33.727,2.381,29.247
24.127,4422,4422,0,2.587,19.759,29.119,32.319,34.431,2.385,29.247
25.134,4352,4352,0,2.393,23.231,29.311,32.271,33.503,2.385,29.247
26.139,4369,4369,0,2.307,22.831,29.951,32.079,32.895,2.383,29.295
27.144,4482,4482,0,2.297,22.415,28.367,30.751,32.175,2.381,29.247
28.148,4374,4374,0,2.363,20.847,28.719,31.983,1626.111,2.379,29.231
29.153,4240,4240,0,2.465,23.791,29.983,33.823,35.935,2.381,29.247
30.158,4326,4326,0,2.403,23.439,29.487,36.799,38.463,2.383,29.247
31.163,4262,4262,0,2.569,25.151,29.935,32.831,36.095,2.389,29.263
32.168,4464,4464,0,2.179,22.351,28.895,32.927,38.975,2.381,29.247
33.173,4272,4272,0,2.343,23.503,29.023,33.919,35.135,2.381,29.247
34.178,4264,4264,0,2.583,22.559,29.551,35.967,1761.279,2.387,29.263
35.183,4411,4411,0,2.297,23.535,29.487,34.271,36.447,2.383,29.263
36.188,4346,4346,0,2.299,23.247,30.015,34.079,35.167,2.381,29.279
37.193,4383,4383,0,2.745,22.143,27.967,33.023,34.111,2.389,29.247
38.198,4332,4332,0,2.485,20.703,28.991,32.159,1812.479,2.389,29.247
39.203,4316,4315,1,2.249,20.079,30.047,34.271,35.903,2.387,29.279
40.208,4371,4371,0,2.455,19.759,29.999,33.407,35.839,2.389,29.311
41.213,4429,4429,0,2.259,20.639,30.479,34.783,36.639,2.385,29.343
42.218,4230,4230,0,2.403,20.671,30.767,36.703,39.167,2.385,29.375
43.223,4277,4277,0,2.381,23.855,28.639,31.055,31.775,2.385,29.343
44.228,4360,4360,0,2.531,22.239,27.951,31.807,34.399,2.389,29.311
45.232,4333,4333,0,2.369,18.927,28.991,34.815,1713.151,2.389,29.311
46.236,4404,4404,0,2.267,19.887,29.087,31.599,1690.623,2.385,29.311
47.242,4405,4405,0,2.379,23.199,29.055,31.135,32.095,2.385,29.295
48.248,4271,4271,0,2.317,24.207,28.671,31.983,32.527,2.385,29.279
49.254,4233,4233,0,2.655,23.167,28.975,32.191,1643.519,2.387,29.263
50.258,4537,4537,0,2.349,20.127,28.719,32.639,35.103,2.385,29.263
51.263,4343,4343,0,2.383,21.439,29.583,33.983,36.351,2.385,29.263
52.268,4351,4351,0,2.529,20.143,28.319,31.583,33.503,2.389,29.247
53.272,4432,4432,0,2.397,22.335,28.479,31.487,1745.919,2.389,29.247
54.277,4327,4327,0,2.377,23.007,29.519,33.535,1720.319,2.387,29.247
55.281,4266,4266,0,2.453,22.495,29.343,35.167,36.543,2.389,29.247
56.286,4305,4305,0,2.311,19.791,30.143,33.471,34.527,2.389,29.279
57.290,4341,4341,0,2.709,19.903,28.303,31.423,32.463,2.391,29.263
58.294,4351,4351,0,2.447,20.255,29.839,33.759,1693.695,2.393,29.279
59.300,4258,4258,0,2.463,23.391,30.175,33.503,37.439,2.395,29.295
60.305,4327,4327,0,2.695,23.151,29.231,33.439,36.031,2.397,29.295
61.309,4294,4294,0,2.501,24.431,29.343,32.655,33.471,2.399,29.295
62.314,4244,4244,0,2.457,24.111,29.983,32.319,37.919,2.401,29.311
63.319,4258,4258,0,2.431,22.559,29.343,31.279,31.791,2.401,29.311
64.324,4254,4254,0,2.383,24.239,30.175,32.863,1766.399,2.401,29.311
65.329,4415,4415,0,2.239,23.727,30.159,33.375,34.303,2.399,29.343
66.335,4240,4240,0,2.453,24.767,29.839,38.527,39.743,2.399,29.359
67.339,4301,4301,0,2.407,21.231,29.807,33.375,34.111,2.399,29.359
68.344,4370,4370,0,2.499,21.695,28.319,35.295,1741.823,2.401,29.343
69.348,4292,4292,0,2.677,23.679,29.727,33.119,33.567,2.403,29.343
70.353,4179,4179,0,2.333,22.911,29.039,31.983,33.343,2.403,29.343
