elapsed_s,count,p50_us,p95_us,p99_us,p99_9_us,max_us,mean_us
1.002,2762,5691,8107,9535,11975,15007,5780
2.003,2783,5671,8047,9551,11199,12335,5759
3.004,2777,5675,8047,9319,11159,11735,5764
4.005,2773,5691,8019,9295,11351,12527,5769
5.006,2764,5699,8087,9767,10959,11631,5792
6.006,2762,5715,7903,9207,11719,11863,5793
7.007,2803,5619,7911,9471,10887,11071,5708
8.008,2858,5531,7895,9215,10959,13271,5607
9.009,2827,5611,7795,8927,10447,10887,5664
10.009,2791,5655,7919,9111,10207,10943,5733
11.010,2801,5635,7907,9015,10535,10847,5717
12.011,2769,5711,8019,9247,11159,11775,5791
13.013,2796,5631,7959,9479,10927,11631,5719
14.013,2755,5707,7951,9191,11311,11543,5810
15.014,2755,5703,8079,9407,11351,11783,5811
16.015,2701,5827,8247,9911,11847,12543,5927
17.016,2741,5743,8107,9367,11039,11815,5838
18.016,2726,5747,8255,9583,11535,12215,5872
19.017,2714,5827,8075,9231,10887,13399,5902
20.018,2723,5779,8215,9623,11471,14263,5872
21.018,2735,5767,8135,9463,11735,12007,5857
22.019,2688,5871,8091,9439,11119,12503,5954
23.020,2704,5831,8159,9735,11319,12799,5916
24.021,2699,5847,8215,9503,11071,11935,5937
25.021,2670,5887,8343,9895,12111,12591,5995
26.022,2698,5843,8319,9783,11559,12415,5934
27.023,2692,5859,8247,9655,11695,13551,5943
28.024,2680,5887,8223,9455,11231,11927,5973
29.024,2687,5847,8423,10047,12167,12967,5959
30.025,2685,5911,8083,9479,11271,12311,5962
31.026,2638,5971,8607,10015,12127,12519,6069
32.027,2660,5943,8359,9735,11711,12727,6018
33.028,2665,5919,8375,10143,13263,15279,6009
34.029,2631,6003,8495,9903,12127,12703,6076
35.029,2641,5967,8535,10047,15999,20879,6065
36.030,2663,5951,8343,9799,11655,12095,6013
37.031,2649,5935,8343,9703,10791,11591,6042
38.032,2664,5911,8295,9679,10903,12271,6005
39.032,2631,5975,8487,9895,12615,14159,6091
40.033,2629,5971,8399,9551,11639,12455,6091
41.034,2640,5963,8415,9775,11655,11967,6059
42.034,2632,5975,8375,9791,11583,12207,6083
43.035,2654,5915,8471,9679,13207,14055,6036
44.036,2634,5963,8503,10063,12039,13279,6072
45.037,2618,6035,8415,9591,11679,12479,6116
46.038,2613,6003,8631,10111,12247,12551,6123
47.038,2609,6019,8663,10639,14615,19167,6140
48.039,2648,5975,8343,9863,12135,14167,6044
49.040,2621,5991,8415,9903,12487,13391,6106
50.041,2618,6015,8503,9783,11335,11927,6114
51.041,2601,6075,8575,9831,11855,14831,6155
52.042,2602,6039,8527,9895,11655,12023,6156
53.043,2622,6015,8311,9383,10823,11095,6100
54.044,2609,6055,8463,9983,11679,12031,6144
55.044,2596,6051,8743,10039,12103,12855,6159
56.045,2602,6055,8415,9695,11503,11839,6158
57.046,2608,6043,8471,9831,11839,12855,6132
58.047,2606,6035,8647,10119,11719,12991,6148
59.047,2604,6031,8551,9855,11383,12135,6137
60.048,2587,6091,8767,10695,13655,14839,6200
61.049,2546,6203,8831,10231,11239,12463,6283
62.049,2586,6091,8591,9887,12119,13639,6188
63.050,2568,6115,8623,9855,11479,12279,6233
64.051,2571,6151,8615,10415,11975,12015,6229
65.052,2525,6203,8783,10535,12967,14367,6339
66.053,2562,6135,8679,10615,12007,13767,6247
67.053,2568,6095,8727,10559,12007,17855,6231
68.054,2539,6203,8711,10351,13447,14071,6309
69.055,2549,6163,8719,10191,13367,14239,6277
70.056,2543,6175,8967,10919,14319,18303,6296
71.056,2545,6175,8839,10487,12135,16799,6281
72.057,2550,6163,8807,10399,13127,16367,6288
73.058,2544,6235,8687,9895,11511,12167,6290
74.059,2487,6255,9311,11039,13239,15711,6438
75.059,2549,6163,8791,10079,11975,13855,6280
76.060,2515,6275,9015,10439,12727,13495,6367
77.061,2539,6227,8591,10079,12151,12831,6300
78.061,2544,6191,8759,10311,12039,12631,6290
79.062,2528,6235,8791,10231,11559,13583,6337
80.063,2533,6227,8999,10327,11839,12287,6321
81.063,2533,6191,8855,10239,12607,13055,6329
82.064,2507,6279,8767,10103,11591,12999,6375
83.065,2545,6207,8663,10031,11335,12255,6284
84.066,2540,6227,8655,9991,12135,13663,6306
85.066,2514,6307,8735,10183,11343,11975,6363
86.067,2509,6283,8911,10319,12223,14695,6381
87.068,2533,6247,8815,10311,12871,14471,6320
88.068,2536,6211,8815,10311,12319,13799,6310
89.069,2543,6175,8775,10055,11919,12887,6302
90.070,2368,6255,8727,9935,11671,13231,6337
