elapsed_s,window_count,ok_count,err_count,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,p50_total_ms,p99_total_ms
1.002,2762,2762,0,5.691,8.107,9.535,11.975,15.007,5.691,9.535
2.003,2783,2783,0,5.671,8.047,9.551,11.199,12.335,5.683,9.535
3.004,2777,2777,0,5.675,8.047,9.319,11.159,11.735,5.679,9.439
4.005,2773,2773,0,5.691,8.019,9.295,11.351,12.527,5.683,9.407
5.006,2764,2764,0,5.699,8.087,9.767,10.959,11.631,5.683,9.471
6.006,2762,2762,0,5.715,7.903,9.207,11.719,11.863,5.691,9.447
7.007,2803,2803,0,5.619,7.911,9.471,10.887,11.071,5.683,9.455
8.008,2858,2858,0,5.531,7.895,9.215,10.959,13.271,5.663,9.431
9.009,2827,2827,0,5.611,7.795,8.927,10.447,10.887,5.655,9.375
10.009,2791,2791,0,5.655,7.919,9.111,10.207,10.943,5.655,9.327
11.010,2801,2801,0,5.635,7.907,9.015,10.535,10.847,5.655,9.303
12.011,2769,2769,0,5.711,8.019,9.247,11.159,11.775,5.659,9.303
13.013,2796,2796,0,5.631,7.959,9.479,10.927,11.631,5.655,9.311
14.013,2755,2755,0,5.707,7.951,9.191,11.311,11.543,5.659,9.303
15.014,2755,2755,0,5.703,8.079,9.407,11.351,11.783,5.663,9.311
16.015,2701,2701,0,5.827,8.247,9.911,11.847,12.543,5.671,9.359
17.016,2741,2741,0,5.743,8.107,9.367,11.039,11.815,5.675,9.359
18.016,2726,2726,0,5.747,8.255,9.583,11.535,12.215,5.679,9.375
19.017,2714,2714,0,5.827,8.075,9.231,10.887,13.399,5.687,9.367
20.018,2723,2723,0,5.779,8.215,9.623,11.471,14.263,5.691,9.383
21.018,2735,2735,0,5.767,8.135,9.463,11.735,12.007,5.695,9.391
22.019,2688,2688,0,5.871,8.091,9.439,11.119,12.503,5.699,9.391
23.020,2704,2704,0,5.831,8.159,9.735,11.319,12.799,5.707,9.399
24.021,2699,2699,0,5.847,8.215,9.503,11.071,11.935,5.711,9.407
25.021,2670,2670,0,5.887,8.343,9.895,12.111,12.591,5.719,9.415
26.022,2698,2698,0,5.843,8.319,9.783,11.559,12.415,5.723,9.439
27.023,2692,2692,0,5.859,8.247,9.655,11.695,13.551,5.731,9.447
28.024,2680,2680,0,5.887,8.223,9.455,11.231,11.927,5.735,9.447
29.024,2687,2687,0,5.847,8.423,10.047,12.167,12.967,5.739,9.463
30.025,2685,2685,0,5.911,8.083,9.479,11.271,12.311,5.747,9.463
